id,age,gender,profession,quadrant,type,content,category
123,40歲以上,F,退休投資者／世界旅行者,Q2,策略轉型者 Strategic Pivoters,沒有天賦，但有韌性和毅力。數十年努力工作、省吃儉用、投資，55歲退休。現在到世界各地自助旅遊。（61歲老婦路過）,金融 / 投資
124,20-30歲,F,經絡調理師,Q4,意外發現者 Accidental Naturals,19-30歲當英文老師，因身體酸痛離職。去調理經絡覺得太有效了，把積蓄40萬全部拿去學，六個月考到證照。43歲又開始買起司，人生的十字路口轉彎也會看到不一樣的自己。,探索中 / 尚未定義
125,30-40歲,M,剪紙藝術家／玻璃彩繪師,Q3,熱情追尋者 Passionate Seekers,39歲，以剪紙和玻璃彩繪為生已經10年。小時候就知道有美術天賦，但從沒想過會以此為業。在藝術中找到安靜和安定，值得義無反顧經營。,創作者 / 藝術
126,20-30歲,M,美髮設計師／沙龍老闆,Q3,熱情追尋者 Passionate Seekers,小學二年級被欺負，換了新髮型後人際關係改善，決定長大要當設計師。從業11年，29歲開店。夥伴還代表台灣拿了亞洲冠軍。,設計 / 美學
127,30-40歲,,自學建築師,Q4,意外發現者 Accidental Naturals,33歲發現有建築天賦，非本科系。第一次學藍圖就自己蓋完一案，70%自己安排。得到許多機關單位認可。,探索中 / 尚未定義
128,30-40歲,M,保全人員,Q4,意外發現者 Accidental Naturals,38歲在台北當保全。很多人叫他不要做太久，但他發現自己無法接受高壓工作，保全是他能勝任且做得長久的。從29歲做到現在。,探索中 / 尚未定義
129,30-40歲,,皮件職人,Q3,熱情追尋者 Passionate Seekers,大約30歲接觸皮件，每天下班做到半夜、假日也不出門做一整天。發現真的很熱愛，最後當成職業做了十幾年。,探索中 / 尚未定義
130,30-40歲,F,手作飾品設計師,Q1,被迫適應者 Forced Adapters,讀設計但屢屢在職場碰壁，陷在「我怎麼這麼沒用」的想法裡。開始做手作飾品，將自己設計的飾品實際做出來很療癒。收入還不足以完全支撐生活但找回了自信。,設計 / 美學
131,30-40歲,,天賦與熱情的反思,Q3,熱情追尋者 Passionate Seekers,認為天賦不會變但願意100%投入的事會因眼界而變。30歲前有全心投入的事，30歲後視野拓展就變了。33歲還在探索，認為認識天賦可能優先於找事做。,探索中 / 尚未定義
132,30-40歲,F,英文老師,Q4,意外發現者 Accidental Naturals,國中高中英文都很爛，沒上過補習班。被厲害的大學教授和家教老師啟蒙後，才發現英文天賦，後來成為專業英文教師。,教育 / 顧問
133,20-30歲,F,性教育講師／研究者,Q3,熱情追尋者 Passionate Seekers,大四為了作品集創立了IG性教育平台。發現人格特質符合助人工作，轉讀性學研究所。五年來講過上百場課，進入機構校園協助兒少。講課時會發光。,教育 / 顧問
134,30-40歲,F,專業講師,Q4,意外發現者 Accidental Naturals,34歲育嬰假結束，入職後一個月意外站台講產品說明會，開啟講師天賦。自學至今13年，受眾從10人變成400人。嘗試沒做過的事才能看到隱藏的潛能。,教育 / 顧問
135,30-40歲,F,電腦刺繡品牌創辦人,Q3,熱情追尋者 Passionate Seekers,從百貨陳列做到服飾設計師，中間無數次懷疑自己。33歲接觸電腦刺繡覺得是人生使命。經歷疫情和團隊瓦解仍堅持到40歲。,創業 / 商業
136,30-40歲,F,攝影師（自學成功）,Q4,意外發現者 Accidental Naturals,全職媽媽時開始拍小孩寫部落格，自學修圖。別人問她有沒有在幫人拍照，硬著頭皮接案。從4500元做到一日超過十萬。35歲開始接案，天賦不是憑空掉下來的，是熱情讓你熬出頭。,創作者 / 藝術
137,20-30歲,F,身心靈工作者,Q4,意外發現者 Accidental Naturals,22歲在醫院被「卡到」，開始探索靈擺、塔羅，到現在做身心靈教學和創作。真的好快樂。,探索中 / 尚未定義
138,40歲以上,M,47歲仍在迷惘,Q4,意外發現者 Accidental Naturals,47歲依然不知道想幹嘛或擅長什麼。做一份能勝任的工作，僅此而已。安慰原PO：34歲還困惑不要怕，大13歲一樣困惑但活得好好的。,探索中 / 尚未定義
139,30-40歲,,34歲同樣迷惘,Q3,熱情追尋者 Passionate Seekers,跟原PO同齡，即使選擇有興趣的事，腦袋還是不斷問「什麼才值得100%投入」。覺得把生活變有趣、感覺值得咀嚼的時刻，可能就是活得有意義的時候。,探索中 / 尚未定義
140,20歲以下,F,塔羅牌師,Q3,熱情追尋者 Passionate Seekers,17歲學了塔羅，25歲了還是沒膩，好喜歡，要算一輩子。,靈性 / 命理
141,30-40歲,,探索ikigai中,Q3,熱情追尋者 Passionate Seekers,接近32歲，從28歲開始探索自己的calling。還沒找到但在過程中更認識自己。目前正在努力探索ikigai。,工程 / 科技
142,30-40歲,F,花農,Q1,被迫適應者 Forced Adapters,爸爸直接空投一塊花田當遺產，說要遺產就自己把花換成錢。隔月辭職回來種田。基本上就是不小心點到NPC被丟了大型任務，雖然很問號但遊戲還是玩得下去。,探索中 / 尚未定義
143,30-40歲,,天賦框架思考者,Q3,熱情追尋者 Passionate Seekers,認為很多人把興趣當天賦在找。天賦不是「你喜歡做什麼」而是「你做事時什麼能力特別突出」。例如把抽象概念變成具體圖像的能力才是天賦，不是畫畫這個興趣。,探索中 / 尚未定義
144,20-30歲,M,自媒體創業者,Q3,熱情追尋者 Passionate Seekers,大學覺得無意義，25歲自媒體創業找到價值和收入。遇到貴人很重要，敢踏出那一步更重要。,影音 / 媒體
145,20歲以下,F,採購專員,Q4,意外發現者 Accidental Naturals,18歲就發現自己很有購物天賦，之後都只應徵採購工作。,探索中 / 尚未定義
146,20歲以下,,藝術家／設計師,Q3,熱情追尋者 Passionate Seekers,爸爸家族有藝術天分，媽媽也喜歡藝術，家中大量藝術書籍。小一就立志做藝術家，一直朝那個方向走。,創作者 / 藝術
147,30-40歲,F,收納達人（非職業）,Q4,意外發現者 Accidental Naturals,五六歲就知道自己有空間收納技能，但到32歲都沒拿來賺過錢。不過住在台北，這個技能省了很多錢。,餐飲 / 生活
148,30-40歲,F,38歲仍在尋找,Q3,熱情追尋者 Passionate Seekers,38歲離開待6年的工作，還在尋找方向的路上。,探索中 / 尚未定義
149,30-40歲,,不務正業多元工作者,Q3,熱情追尋者 Passionate Seekers,發現自己喜歡不務正業但什麼都學很快。循環做花藝、烘咖啡、雕塑。雖然不精，但經過時間磨練也精了。,多元斜槓
150,30-40歲,,音樂愛好者,Q3,熱情追尋者 Passionate Seekers,不確定天賦是什麼，只知道努力工作是為了能一輩子彈樂器和去日本看演唱會。,創作者 / 藝術
151,30-40歲,,天賦即持續的興趣,Q3,熱情追尋者 Passionate Seekers,認為天賦就是持續的興趣。有念頭就先動起來，過程中會發現奇妙的狀態和志同道合的夥伴。,探索中 / 尚未定義
152,30-40歲,F,芳療師,Q3,熱情追尋者 Passionate Seekers,媽媽是企業秘書40歲轉職芳療。從小看媽媽的芳療書和服務客人，10歲就想走芳療領域。經歷各種波折，35歲在養生館工作但夢想是回到個人工作室。,探索中 / 尚未定義
153,20歲以下,F,瑜珈老師（頂級客戶）,Q1,被迫適應者 Forced Adapters,小時候想學舞蹈被刷掉。19歲開始學瑜珈，25歲爭取到精緻瑜珈教室實習。後來台灣超級巨星和知名企業主都成為她的學生。感激當時被刷掉才有機會慢下來。,教育 / 顧問
154,20歲以下,F,鋼琴老師／音樂教授,Q4,意外發現者 Accidental Naturals,6歲發現音樂天賦，聽過的曲子就能彈出來。但第一個老師不專業，浪費了好幾年用錯方法練習。現在教大學音樂，強調即使有天賦，啟蒙老師更更更重要。,創作者 / 藝術
155,20-30歲,M,遊戲改碼者,Q4,意外發現者 Accidental Naturals,疫情期間在家，打開遊戲的Java編碼發現竟然看得懂。投入了修改BUG的世界，開遊戲給朋友玩，補貼了不少生活費。,探索中 / 尚未定義
156,20-30歲,F,婚禮企劃主持人,Q3,熱情追尋者 Passionate Seekers,22歲踏入婚禮產業。之前做什麼工作3個月就會厭煩，但婚禮完成後心靈充滿能量。26歲確定這是本命。做了10年，每次前往婚禮現場依舊興奮和期待。,創作者 / 藝術
157,20-30歲,F,服裝設計師／寄賣店老闆,Q3,熱情追尋者 Passionate Seekers,國小說想當服裝設計師，一路從美術班到服裝設計系。28歲開了寄賣店，把學過的木工、油漆、手作全部放在店裡。什麼都學不精但都在進步中。,設計 / 美學
158,40歲以上,,作家／商業顧問（80/20法則）,Q3,熱情追尋者 Passionate Seekers,在廣告公司一路做到總經理但不開心。用80/20法則找到自己花最少力氣卻做得最好的那20%。將經驗寫成書。,創作者 / 藝術
159,30-40歲,,旅遊創作者,Q3,熱情追尋者 Passionate Seekers,30歲離職全心投入旅遊創作。34歲還很年輕，希望每個人都能找到屬於自己的一片天。,創作者 / 藝術
160,20歲以下,,長期從業者,Q3,熱情追尋者 Passionate Seekers,16歲踏入某領域到現在。不敢說是天賦，只知道做著做著就開了一間店。此時此刻很肯定自己的選擇。,探索中 / 尚未定義
161,30-40歲,F,職涯諮詢師,Q3,熱情追尋者 Passionate Seekers,30歲後開始探索這個問題。學校課本沒有教自我探索，所以去研究並取得職涯諮詢師證照。認為自我探索永遠不嫌晚。,醫療 / 心理
162,40歲以上,F,陶笛演奏家／品牌創辦人,Q4,意外發現者 Accidental Naturals,40歲接觸陶笛，不到兩年拿了大賽冠軍。認為重點不是碰上有興趣的事，而是突然知道自己「是什麼」。創立了自己的陶笛品牌，自己研究製作。建議自我探索，去了解內在深處。,創業 / 商業
163,20歲以下,M,程式工程師,Q3,熱情追尋者 Passionate Seekers,國中寫程式存在隨身碟，忘了帶走去教官室拿鑰匙時說「這比我的命還重要」。那瞬間意識到這輩子都要做這件事。到現在工作多年依舊熱愛寫程式。,工程 / 科技
164,20歲以下,F,瑜珈老師,Q3,熱情追尋者 Passionate Seekers,19-24歲當職業軍人，覺得不是自己想要的。試過保險和直銷，最後到養生館工作邊累積瑜珈教學。31歲成為全職瑜珈老師。,教育 / 顧問
165,30-40歲,M,拳館老闆,Q1,被迫適應者 Forced Adapters,退伍後一直被職場壓榨，懷疑努力有沒有用。一直有在練拳但告訴自己興趣不能當飯吃。開始教拳時戶頭只剩幾百塊，每堂課都在倒貼。後來發現拳館成了迷惘的人可以安全抒發的地方。,創業 / 商業
166,30-40歲,F,39歲發現多重天賦,Q3,熱情追尋者 Passionate Seekers,到三四年前才開始想活著，今年才第一次持續有活著的感覺。發現很多天賦都不是直觀可見的，來自長長的生命累積。每個生命都有各自的時程。,多元斜槓
167,20-30歲,F,翻譯師,Q3,熱情追尋者 Passionate Seekers,28歲邊上班邊上翻譯課程。經朋友介紹得到審書機會，感受到翻譯的樂趣。雖然不確定是天賦，但翻譯的當下很開心。,探索中 / 尚未定義
168,20歲以下,M,影像創作者／導演,Q4,意外發現者 Accidental Naturals,11歲學校測驗說可以當導演被同學笑。17歲拍影片，22歲愛上攝影。現在跟藝人網紅合作拍攝，實現了當年的測驗結果。,創作者 / 藝術
169,30-40歲,M,廣告導演／影像公司創辦人,Q3,熱情追尋者 Passionate Seekers,從軍官轉創業，成立影像公司。前兩年吃老本沒案子，後來靠自學和自媒體行銷做了五年越來越穩定。現在過的日子就是夢想。,影音 / 媒體
170,20歲以下,M,程式工程師／網站開發,Q3,熱情追尋者 Passionate Seekers,12歲在沒有社群媒體的年代學做網站，就是為了想紅。後來成為賺錢工具。,工程 / 科技
171,20-30歲,F,活動企劃,Q4,意外發現者 Accidental Naturals,24歲被傳喚當證人要寫工作經歷，警察問她為什麼跳來跳去。她反射回答「不管什麼產業我都是做活動企劃」，才發現自己一直在無意識地選擇擅長的事。,探索中 / 尚未定義
172,30-40歲,F,天賦諮詢師／作家／Podcaster,Q1,被迫適應者 Forced Adapters,從旅行作家到各種工作，失去專欄收入後迷惘。30天火車環島、視網膜剝離差點失明。考了天賦諮詢師證照。現在一邊上班一邊經營自媒體和Podcast。,創作者 / 藝術
173,30-40歲,F,古董店老闆,Q4,意外發現者 Accidental Naturals,18歲想當表演藝術家。35歲用指尖感覺到古董的高頻振動，開了古董店。每天幫古董寫劇本拍影片，從演員變成古董擺渡人。,創業 / 商業
174,20-30歲,M,通用設計師／視障音樂軟體教師,Q4,意外發現者 Accidental Naturals,出生後有不同的回憶，天生對聲音和科技研發有興趣。視障者，結合音樂和科技。現在是通用設計師和視障者數位音樂教師，正在往創業方向走。,創作者 / 藝術
175,20-30歲,,PC遊戲產業工作者,Q4,意外發現者 Accidental Naturals,失業後臨時找的工作，發現自己蠻適合的，做了第六年。,探索中 / 尚未定義
176,20歲以下,F,美甲師,Q3,熱情追尋者 Passionate Seekers,19歲愛上美甲，全職至今11年。,設計 / 美學
177,30-40歲,M,美髮設計師,Q3,熱情追尋者 Passionate Seekers,15歲愛抓頭髮，設計師問要不要去學。一學發現連洗頭都覺得好玩，到37歲還是很喜歡。,設計 / 美學
178,20-30歲,F,消防員,Q3,熱情追尋者 Passionate Seekers,大學教授說「也許你可以藉由嘗試知道自己不想要什麼」。多方嘗試後因消防替代役踏入消防員領域，快十年了很喜歡第一線工作。,探索中 / 尚未定義
179,30-40歲,,賈伯斯哲學信奉者,Q3,熱情追尋者 Passionate Seekers,還在困惑中。相信賈伯斯的connecting the dots，持續努力不怕做選擇，總有一天所有事情都會連起來。,探索中 / 尚未定義
180,20-30歲,,Etsy店主,Q3,熱情追尋者 Passionate Seekers,今年開了Etsy小店。覺得34歲仍可以嘗試不同方向，少跟別人比較。人生遊戲很自由，開心就好。,創業 / 商業
181,30-40歲,F,等待找到方向的伴侶,Q3,熱情追尋者 Passionate Seekers,37歲還沒找到方向。看到老公事業越來越好會焦慮。但看著先生26歲荒唐到36歲突然開竅，所以不急。,探索中 / 尚未定義
182,30-40歲,,管理者,Q4,意外發現者 Accidental Naturals,當上司後發現自己對操縱人心很得心應手。下屬盡心盡力幫忙跟進工作。阿嬤說「沒有用在歧途就可以了」。,探索中 / 尚未定義
183,20-30歲,F,Podcast創作者,Q3,熱情追尋者 Passionate Seekers,9歲開始對聲音好奇，29歲開設Podcast分享心靈故事。希望有天能鼓勵到孤單無力的人，讓他們感受溫暖和被同理。,創作者 / 藝術
184,30-40歲,F,想嘗試但還沒開始,Q3,熱情追尋者 Passionate Seekers,38歲已是媽媽但還沒找到方向。覺得缺少勇氣又想太多。最近有想踏出第一步。,探索中 / 尚未定義
185,20-30歲,,職涯諮詢師（進行中）,Q3,熱情追尋者 Passionate Seekers,20歲開始探索，22歲確認方向，28歲還在讓它能支撐生活。職涯諮詢師。,醫療 / 心理
186,30-40歲,F,轉職中的手作創作者夫妻,Q3,熱情追尋者 Passionate Seekers,一對正在努力不當NPC的夫妻。30歲後開始找尋自我，其中一位從零接觸手作到現在休假都還想創作。,創作者 / 藝術
187,30-40歲,F,建築師／室內設計師,Q1,被迫適應者 Forced Adapters,辭掉憂鬱到需要看醫生的教職，在民宿咖啡店打工2-3年。被一位好老闆願意教。最窮的那天跟媽媽借三千塊，結果同一天拿到兩百萬支票。即使找到喜歡的事，過程也不一定順遂。,設計 / 美學
188,30-40歲,,自我探索建議,Q3,熱情追尋者 Passionate Seekers,建議從小side project開始、疊加技能、找讓自己進入心流的事。問自己：什麼事我願意免費做而且做得超棒？執行力很重要。,探索中 / 尚未定義
189,20歲以下,,嘻哈舞者,Q3,熱情追尋者 Passionate Seekers,從小喜歡畫畫和跳舞。正在準備去荷蘭做街舞文化交流，想讓更多人了解HIPHOP。,探索中 / 尚未定義
190,30-40歲,,道教修行者,Q4,意外發現者 Accidental Naturals,去廟裡上香，師父看見後追著父母說要收他為徒。師父夢到要找的徒弟長相跟他一模一樣。,探索中 / 尚未定義
191,20歲以下,F,美甲師,Q3,熱情追尋者 Passionate Seekers,19歲愛上美甲，全職至今11年。,設計 / 美學
192,30-40歲,,放射師,Q4,意外發現者 Accidental Naturals,花很久才發現自己沒天賦就是普通人，所以選了穩定的放射師工作。,探索中 / 尚未定義
193,30-40歲,,大病後的自我發現,Q1,被迫適應者 Forced Adapters,重大疾病後被迫安靜發呆，慢慢與自己獨處。發現真正想做的事，走出過去的舒適圈。先允許自己當小廢物，才能找到真正喜歡的事。,探索中 / 尚未定義
194,30-40歲,F,美甲師,Q3,熱情追尋者 Passionate Seekers,30出頭接觸美甲，發現可以連續工作16小時還想繼續創作。確認自己真的很愛。,設計 / 美學
195,20-30歲,,咖啡師,Q3,熱情追尋者 Passionate Seekers,21歲時知道咖啡可以做一輩子。,餐飲 / 生活
196,40歲以上,F,幼教老師,Q4,意外發現者 Accidental Naturals,學了很多才藝覺得跟工作無關，50歲才定下來做幼教，發現那些才藝全都成為幼教的資源。,教育 / 顧問
197,20歲以下,,（幽默虛構）時間操控者,Q4,意外發現者 Accidental Naturals,12歲發現能控制時間流。目前大乘期，上班能暫停時間進行精神穿越。（搞笑留言）,探索中 / 尚未定義
198,30-40歲,F,職涯諮詢師／自媒體創作者,Q3,熱情追尋者 Passionate Seekers,34歲才決定相信諮詢是天賦，全職投入職涯諮詢和自媒體。目前還無法完全支撐生活。,創作者 / 藝術
199,40歲以上,,終身創作者,Q3,熱情追尋者 Passionate Seekers,一直以為自己沒有美術天分。20幾歲開始創作，專注好幾年。40歲了工作還是跟創作設計有關。,創作者 / 藝術
200,20-30歲,F,塔羅牌師,Q4,意外發現者 Accidental Naturals,22歲失戀沒事做買了塔羅牌，意外的有點準就繼續做。,靈性 / 命理
201,20歲以下,M,國際獲獎設計師,Q3,熱情追尋者 Passionate Seekers,7歲夢想去法國唸設計，24歲到巴黎。39歲已獲200多個國際獎項、60多國展覽、擔任多國客座教授。選就算遇到困難還是會去做的事，那才是真愛。,設計 / 美學
202,30-40歲,,療癒天賦發現者,Q4,意外發現者 Accidental Naturals,30幾歲發現自己有療癒天賦，學各種療癒工具都很快上手。學生時期就是大家的聆聽者。,探索中 / 尚未定義
203,20-30歲,,消防員,Q3,熱情追尋者 Passionate Seekers,老師建議用刪去法找方向。多方嘗試後因消防替代役踏入消防員領域，快十年了。,探索中 / 尚未定義
204,20歲以下,M,美髮師（澳洲開店）,Q3,熱情追尋者 Passionate Seekers,從小喜歡搞頭髮，高中開始學剪髮。34歲在澳洲經營六人團隊美髮店。目標95歲當全世界最後的手工理髮師。,創業 / 商業
205,30-40歲,F,獨立設計師,Q3,熱情追尋者 Passionate Seekers,30歲後大跳轉離開不適合的環境。收入不穩會懷疑人生，但在接案過程中更清楚自己適合什麼。,設計 / 美學
206,20-30歲,F,清潔達人,Q4,意外發現者 Accidental Naturals,從小投入最多的是清潔，看著環境乾淨覺得很有成就。20歲開始幫囤積症嚴重型雇主整理，持續五年多。認為老天給了這個能力一定有用處。,餐飲 / 生活
207,20-30歲,F,英文老師／身心靈療癒師,Q3,熱情追尋者 Passionate Seekers,從小喜歡聲音和英文。大學讀法律做法務，後來回到教英文和法文。也成為療癒師和動物溝通師。不需要為自己設限，認真體驗每個當下。,教育 / 顧問
208,20歲以下,F,音樂劇演員,Q3,熱情追尋者 Passionate Seekers,從小喜歡芭蕾和看故事書。16歲愛上音樂劇，18歲考上美國音樂學院。非常突然但感覺命中注定。,創作者 / 藝術
209,20歲以下,,插畫家／塔羅牌師,Q3,熱情追尋者 Passionate Seekers,有記憶以來就在畫圖。某天增加了塔羅牌。解牌有趣時就去畫圖，非常滿足。,創作者 / 藝術
210,20-30歲,F,元辰宮諮詢師,Q4,意外發現者 Accidental Naturals,28歲從大陸回台遇到疫情，人生跌到谷底。去找畫畫老師做元辰宮時決定這就是她要的。做了上千客戶、教了快50位學生。,醫療 / 心理
211,20-30歲,F,手作量產達人,Q4,意外發現者 Accidental Naturals,發現自己專注手工可以一整天像小型工廠批量生產。車衣服、做耳環、戒指，教一次就能量產。,手作 / 工藝
212,20-30歲,,行銷企劃,Q4,意外發現者 Accidental Naturals,大學畢業發現做研究很不行，但很擅長寫摘要和把研究成果有趣地解釋給別人。退學後進了行銷企劃領域，做得非常開心。,探索中 / 尚未定義
213,30-40歲,M,塔羅占星師（腦性麻痺患者）,Q1,被迫適應者 Forced Adapters,腦性麻痺患者，21歲發現對人的情緒和命運有異常敏銳的感知力。當過特教老師，那段經歷成為做命理諮詢時最獨特的養分。從發現天賦到以此為生走了15年。,靈性 / 命理
214,30-40歲,,賣場排貨愛好者,Q4,意外發現者 Accidental Naturals,最近發現很愛排貨，看到凌亂的商品就會幫忙整理。準備去做協銷人員。,探索中 / 尚未定義
215,20-30歲,,編劇,Q4,意外發現者 Accidental Naturals,24歲發現自己寫的劇本反應不錯，27歲成為編劇。,創作者 / 藝術
216,30-40歲,,創業者,Q3,熱情追尋者 Passionate Seekers,33歲選擇創業，沒有把握只有堅持。回頭看都是值得。,創業 / 商業
217,20歲以下,M,程式工程師,Q3,熱情追尋者 Passionate Seekers,12歲在電腦教室學做網站，沒有社群媒體的年代只是想被看見。後來成為賺錢工具和職業。,工程 / 科技
218,20-30歲,F,美甲師／品牌創辦人,Q3,熱情追尋者 Passionate Seekers,22歲學美甲，23歲開工作室，25歲開店，31歲創立品牌。,設計 / 美學
219,20-30歲,M,投資者,Q4,意外發現者 Accidental Naturals,28歲讀了巴菲特的信，發現自己天生不從眾。疫情期間油價跌到負數時重倉出擊，賺超過10倍。,金融 / 投資
220,40歲以上,,40歲仍在尋找,Q3,熱情追尋者 Passionate Seekers,40歲了還在找。質疑100%投入和天賦的概念。覺得知道自己不要什麼、有70%想投入的事就很棒了。,探索中 / 尚未定義
221,30-40歲,F,小吃店老闆,Q1,被迫適應者 Forced Adapters,原本是上班族不會煮菜，被迫接手家裡小吃店。做了七年多，意外發現對數字計算有天份，靠此渡過資金危機。跟自己之前設定的人生天差地遠。,創業 / 商業
222,20歲以下,M,金融／自學投資者,Q2,策略轉型者 Strategic Pivoters,18歲大學落榜，試過修車餐飲等各種基層工作。自學金融考到證照，25歲資產突破5000萬。驅動力是窮怕了跟想學的心。,金融 / 投資
223,20歲以下,M,影像處理專家,Q3,熱情追尋者 Passionate Seekers,10-11歲就覺得自己天生吃影像處理的飯，學習過程沒有遲疑。到現在還是覺得自己是吃這行飯的料。,影音 / 媒體
224,30-40歲,,陶藝家轉社工,Q3,熱情追尋者 Passionate Seekers,從小知道陶藝天賦，當職業十幾年。兩年前放棄陶藝當社工。偶爾想起創作就偷偷哭，但看到需要服務的人又覺得熱血沸騰。,手作 / 工藝
225,20歲以下,F,甜點師／蛋糕裝飾師,Q3,熱情追尋者 Passionate Seekers,國小五年級立志當廚師，因身高限制轉做甜點。意外發現蛋糕裝飾的美感突然開竅。34歲創業11年，從工作室到店面一步步堅持。,探索中 / 尚未定義
226,30-40歲,M,職涯探索者,Q3,熱情追尋者 Passionate Seekers,20-30歲在同一家公司做了十年，第一年就想換。花了十年觀察，30歲辭職讀書兩年認識自己。第二份工作做了14年。「了解自己」是最重要的功課。,探索中 / 尚未定義
227,20歲以下,F,鋼琴老師／音樂教授,Q4,意外發現者 Accidental Naturals,3歲就能無師自通彈卡通歌曲。但第一個老師不專業，浪費了多年。後來找到好老師才走上正軌。琴齡26年，教學14年。,創作者 / 藝術
228,30-40歲,,YouTube創作者,Q3,熱情追尋者 Passionate Seekers,36歲開了YouTube，一開始不能連續看鏡頭一分鐘。不是天賦而是興趣加上持續努力。找到市場需求後也找到客戶。,創作者 / 藝術
229,30-40歲,,反對將熱情當職業,Q3,熱情追尋者 Passionate Seekers,建議找50%投入就能養活自己的工作，剩下時間做熱愛的事。把100%願意付出的事當工作會消磨意志和熱情。,探索中 / 尚未定義
230,30-40歲,,四環匯聚框架,Q3,熱情追尋者 Passionate Seekers,提出找到天賦＋深度興趣＋過去職業累積＋商業價值的四環匯聚點。那就是100%可投入、有錢賺、不累、帶來平靜的事。,探索中 / 尚未定義
231,30-40歲,F,攝影師（熱情項目）,Q3,熱情追尋者 Passionate Seekers,從大學畢業就熱愛攝影，創業擺攤接案但收入不穩。34歲夢想還不能成為主要收入，但發現特別喜歡建築攝影。真心熱愛就夠了。,創作者 / 藝術
232,30-40歲,,供應鏈／金融研究,Q3,熱情追尋者 Passionate Seekers,從小喜歡商業和創業。進入科技業供應鏈再到金融研究，快15年了。不是天賦但很能熬，吃苦當吃補。,金融 / 投資
233,20-30歲,,27歲找到方向,Q3,熱情追尋者 Passionate Seekers,27歲發現方向，30歲才真正領悟。相信持續嘗試就會找到，過程中一定有轉捩點。,探索中 / 尚未定義
234,20-30歲,,28歲轉職探索中,Q3,熱情追尋者 Passionate Seekers,28歲一樣迷惑，辭掉安逸工作挑戰技術工作。希望意外開發天賦。,探索中 / 尚未定義
235,30-40歲,M,軟體工程師／遊戲開發者,Q3,熱情追尋者 Passionate Seekers,大學讀法文差點被二一。重考念資工第一學期就拿書卷獎。現在是AI公司資深架構師，最近還迷上獨立開發遊戲。,工程 / 科技
236,30-40歲,F,手工飾品設計師,Q1,被迫適應者 Forced Adapters,從政府單位離職因環境惡劣和職場霸凌。現在做手工飾品，自己設計製作，獲得很多成就感和快樂。希望能順利當正職。,設計 / 美學
237,30-40歲,M,跑者／競賽選手,Q3,熱情追尋者 Passionate Seekers,因焦慮症開始走路放鬆，越走越多越跑越快。開始有教練招手和跑友贊助。不確定生意回復後還會不會這樣訓練。,探索中 / 尚未定義
238,30-40歲,F,CAD設計師,Q2,策略轉型者 Strategic Pivoters,29歲輪班工作搞壞身體。想回到小時候的插畫夢，但發現沒有想像力了。轉學CAD，31歲對新領域越來越有興趣。,設計 / 美學
239,20-30歲,F,健身愛好者,Q3,熱情追尋者 Passionate Seekers,在最糟糕的生活狀態時開始重訓，找回健康和笑容。特別愛深蹲：開心蹲、生氣蹲、發洩蹲。訓練是跟身體對話。,探索中 / 尚未定義
240,20-30歲,F,消防員／研究生,Q3,熱情追尋者 Passionate Seekers,教授建議嘗試來學到不想要什麼。因消防替代役踏入消防員領域快十年，正在努力拿第二個碩士。,探索中 / 尚未定義
241,20歲以下,F,花藝師,Q3,熱情追尋者 Passionate Seekers,16歲發現對手工花藝很喜歡，選了職校。現在全職花藝。,探索中 / 尚未定義
242,30-40歲,,鼓勵性反思,Q3,熱情追尋者 Passionate Seekers,正在困惑表示沒有停止尋找。不一定有天賦也沒關係，選擇有含金量的專業，有錢才能有選擇。,探索中 / 尚未定義
243,40歲以上,F,母親（作為天賦）,Q4,意外發現者 Accidental Naturals,43歲一事無成什麼都不會。但孩子出現狀況時能第一時間出現、知道如何陪伴和接住。自我學習並當好媽媽就是唯一的天賦。,探索中 / 尚未定義
244,30-40歲,,和平生活追求者,Q3,熱情追尋者 Passionate Seekers,33歲過後不想委屈心過活。接近40歲對這個概念更清晰，但很難找到理念相似的同行者。,探索中 / 尚未定義
245,20歲以下,F,芳療師,Q3,熱情追尋者 Passionate Seekers,媽媽40歲從秘書轉芳療。從小看芳療書，10歲就決定走這條路。經歷波折後35歲回到個人工作室。,探索中 / 尚未定義
246,20歲以下,F,瑜珈老師,Q1,被迫適應者 Forced Adapters,小時候考舞蹈班被刷掉。19歲學瑜珈，25歲在頂級瑜珈教室實習。後來台灣超級巨星都成為她的學生。,教育 / 顧問
247,20歲以下,F,鋼琴老師,Q4,意外發現者 Accidental Naturals,6歲就能聽過的音樂完整彈出來。但遇到不專業的啟蒙老師浪費好幾年。現在教大學音樂，強調好老師比天賦更重要。,教育 / 顧問
248,30-40歲,F,轉職成功的教師,Q4,意外發現者 Accidental Naturals,一輩子討厭老師立志不當老師。但從小學起就在黑板教數學、當數學小老師。40歲才醒悟教育是命中注定的事。,探索中 / 尚未定義
249,40歲以上,,持續探索者,Q3,熱情追尋者 Passionate Seekers,快40歲了每天還在挖掘潛能。20歲回想幼稚園畫畫進入心流的經驗，決定學設計。到現在還在發現新的可能性。,探索中 / 尚未定義
250,20-30歲,,Etsy店主,Q3,熱情追尋者 Passionate Seekers,今年開了Etsy小店。34歲仍可以探索，少跟別人比較，最重要的是開心。,創業 / 商業
